Year1,Volcy,Volcm1,Cost1,costpervolcy,costpervolcm,CostCPI,,Year2,Volcy,Volcm2,Cost2,costpervolcy,costpervolcm,,,,Year5,Volcm7,Decade2,Decade4,Volcm6,Volcy6,Decade3,Volcm8,Volcy8,Year4,Volcy,Volcm5,HERE,YearCompleted,Volume (CY),Volcm9,Nominal Cost,2018 CF$,2018 Real Cost,Cost3,Primary Funding Source ,Justification
1963,729664,557868.2595,1008050,1.381526292,1.806967833,14.83520591,,1954,114693,87689,,,,,,,1954,87689,1950,1950-1959,486022.2616,635692.8171,1949-1958,486037,635712.0942,1954,114693,87689,,1954,114693,87689.10662,0,0.108,0,,Unknown,Unknown
1979,1000000,764555,4600000,4.6,6.016571731,21.35882965,,1956,182018,139163,0,0,0,,,,1956,227087,1960,1960-1969,5756315.481,7528972.834,1959-1968,2810077,3675440.212,1956,182018,139163,,1956,115000,87923.825,76463,0.109,701495.41,7.98,State,Unknown
1991,75000,57341.625,326087,4.347826667,5.686741525,10.52047182,,1956,115000,87924,0,0,0,,,,1958,171260,1970,1970-1979,1529110,1999999.425,1969-1978,764555,999999.7123,1956,115000,87924,,1956,182000,139149.01,121011,0.109,1110192.66,7.98,State,Unknown
1995,525000,401391,4700000,8.952380952,11.70928098,19.32031361,,1958,75000,57342,0,0,0,,,,1961,145646,1980,1980-1989,,0,1979-1988,0,0,1958,75000,57342,,1958,149000,113918.695,0,0.116,0,,Unknown,Unknown
2010,3000000,2293665,37500001,12.5,16.34938,18.801787,,1958,149000,113919,,,,,,,1962,985910,1990,1990-1999,1181466.642,1545299.294,1989-1998,1026798,1343000.444,1958,149000,113919,,1958,75000,57341.625,0,0.116,0,,Unknown,Unknown
2011,300000,229367,3750000,12.5,16.34938,18.1478118,,1961,58000,44344,,,,,,,1963,1678521,2000,2000-2009,685041.28,895999.7422,1999-2008,672808,879999.2236,1961,58000,44344,,1961,72498,55428.70839,0,0.12,0,,Unknown,Unknown
2012,1250000,955694,15625000,12.5,16.34938,17.8208242,,1961,72498,55429,,,,,,,1978,764555,2010,2010-2019,13840738.81,18102994.33,2009-2018,13244324,17322913.58,1961,72498,55429,,1961,58000,44344.19,0,0.12,0,,Unknown,Unknown
2016,10111917,7731116.702,162416911,16.06193079,21.00820842,22.05861884,,1961,60000,45873,,,,,,,1991,57342,,,,,,,,1961,60000,45873,,1961,60000,45873.3,0,0.12,0,,Unknown,Unknown
2018,2361000,1805114.355,40147000,17.00423549,22.24069621,22.24069621,,1962,88503,67665,,,,,,,1992,139914,,,,,,,,1962,88503,67665,,1962,88503,67665.41117,0,0.121,0,,State,Emergency
,,,,,,,,1962,46000,35170,0,0,0,,,,1994,397569,,,,,,,,1962,235252,179863,,1962,405000,309644.775,0,0.121,0,,Federal,Emergency
